Image,Original,EdgeAblated,CountDiff,PercentageChange,ConfidenceDiff,,,,Module,Original,EdgeAblated,CountDiff,ConfidenceDiff
000.png,1,1,0,0.00%,-0.0968,,,,1,6,9,-3,?0.0482
001.png,1,1,0,0.00%,-0.0733,,,,2,11,7,4,0.0327
002.png,0,0,0,0.00%,-0.0094,,,,3,7,5,2,0.0153
003.png,1,1,0,0.00%,-0.0699,,,,4,4,7,-3,?0.0413
004.png,0,0,0,0.00%,-0.0384,,,,5,9,11,-2,-0.0312
005.png,0,0,0,0.00%,0.0118,,,,6,12,8,4,0.0553
006.png,0,1,-1,0.00%,-0.2102,,,,7,4,7,-3,?0.0284
007.png,1,2,-1,-100.00%,0.0109,,,,8,5,8,-3,?0.0197
008.png,1,1,0,0.00%,-0.0021,,,,9,10,8,2,0.0223
009.png,1,2,-1,-100.00%,-0.016,,,,10,6,10,-4,0.0381
010.png,0,0,0,0.00%,-0.0348,,,,,,,,
